asof,asof_quarter,horizon,target_quarter,call,grade,made_call,pred_delta,real_delta,pred_dir,real_dir,hit,conviction_pp,covid_target,consumer_stretched
2017-06-30,2017Q2,1,2017Q3,inflation_yoy,call,True,0.12234856470832622,0.053553896562756,accelerating,accelerating,1.0,0.12234856470832622,False,False
2017-06-30,2017Q2,1,2017Q3,inflation_qoq,call,True,0.38343456703546774,0.3626667512592441,accelerating,accelerating,1.0,0.38343456703546774,False,False
2017-06-30,2017Q2,2,2017Q4,growth_yoy,call,True,-0.6208300986122461,0.5833220845871789,decelerating,accelerating,0.0,0.6208300986122461,False,False
2017-06-30,2017Q2,2,2017Q4,growth_qoq,abstain,False,,0.3385224962145772,no call,accelerating,,,False,False
2017-06-30,2017Q2,2,2017Q4,inflation_yoy,call,True,0.0018103375268196942,0.16312939955184613,accelerating,accelerating,1.0,0.0018103375268196942,False,False
2017-06-30,2017Q2,2,2017Q4,inflation_qoq,call,True,0.09128653374057549,0.3174870925466866,accelerating,accelerating,1.0,0.09128653374057549,False,False
2017-06-30,2017Q2,3,2018Q1,growth_yoy,call,True,0.00341540380781602,0.3346665979973462,accelerating,accelerating,1.0,0.00341540380781602,False,False
2017-06-30,2017Q2,3,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-06-30,2017Q2,3,2018Q1,inflation_yoy,call,True,-0.06327314362191871,0.1408517422751463,decelerating,accelerating,0.0,0.06327314362191871,False,False
2017-06-30,2017Q2,3,2018Q1,inflation_qoq,call,True,0.004723626356417654,0.047111037814961954,accelerating,accelerating,1.0,0.004723626356417654,False,False
2017-06-30,2017Q2,4,2018Q2,growth_yoy,call,True,-0.21522591569105298,-0.029847248237091506,decelerating,decelerating,1.0,0.21522591569105298,False,False
2017-06-30,2017Q2,4,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-06-30,2017Q2,4,2018Q2,inflation_yoy,call,True,0.5270007390920133,0.4382436799120235,accelerating,accelerating,1.0,0.5270007390920133,False,False
2017-06-30,2017Q2,4,2018Q2,inflation_qoq,call,True,0.038052739481186926,-0.2982312149923949,accelerating,decelerating,0.0,0.038052739481186926,False,False
2017-07-31,2017Q3,0,2017Q3,growth_yoy,call,True,-0.10478732673611102,0.08040761841630051,decelerating,accelerating,0.0,0.10478732673611102,False,False
2017-07-31,2017Q3,0,2017Q3,growth_qoq,split,True,-0.00833791216603419,0.22865156824358746,decelerating,accelerating,0.0,0.00833791216603419,False,False
2017-07-31,2017Q3,0,2017Q3,inflation_yoy,call,True,0.011284881253081913,0.053553896562756,accelerating,accelerating,1.0,0.011284881253081913,False,False
2017-07-31,2017Q3,0,2017Q3,inflation_qoq,call,True,0.32065394835174565,0.3626667512592441,accelerating,accelerating,1.0,0.32065394835174565,False,False
2017-07-31,2017Q3,1,2017Q4,growth_yoy,call,True,-0.47282128817118796,0.5833220845871789,decelerating,accelerating,0.0,0.47282128817118796,False,False
2017-07-31,2017Q3,1,2017Q4,growth_qoq,lean,True,0.023944442464274296,0.3385224962145772,accelerating,accelerating,1.0,0.023944442464274296,False,False
2017-07-31,2017Q3,1,2017Q4,inflation_yoy,call,True,0.0038340177282472077,0.16312939955184613,accelerating,accelerating,1.0,0.0038340177282472077,False,False
2017-07-31,2017Q3,1,2017Q4,inflation_qoq,call,True,0.20257453183296636,0.3174870925466866,accelerating,accelerating,1.0,0.20257453183296636,False,False
2017-07-31,2017Q3,2,2018Q1,growth_yoy,call,True,-0.027680303140842355,0.3346665979973462,decelerating,accelerating,0.0,0.027680303140842355,False,False
2017-07-31,2017Q3,2,2018Q1,growth_qoq,abstain,False,,-0.31363682495104683,no call,decelerating,,,False,False
2017-07-31,2017Q3,2,2018Q1,inflation_yoy,call,True,-0.05879800642810307,0.1408517422751463,decelerating,accelerating,0.0,0.05879800642810307,False,False
2017-07-31,2017Q3,2,2018Q1,inflation_qoq,call,True,0.007048107464435738,0.047111037814961954,accelerating,accelerating,1.0,0.007048107464435738,False,False
2017-07-31,2017Q3,3,2018Q2,growth_yoy,call,True,-0.22984488735457997,-0.029847248237091506,decelerating,decelerating,1.0,0.22984488735457997,False,False
2017-07-31,2017Q3,3,2018Q2,growth_qoq,abstain,False,,-0.2825846608052629,no call,decelerating,,,False,False
2017-07-31,2017Q3,3,2018Q2,inflation_yoy,call,True,0.5798452584188318,0.4382436799120235,accelerating,accelerating,1.0,0.5798452584188318,False,False
2017-07-31,2017Q3,3,2018Q2,inflation_qoq,call,True,0.03964902425919181,-0.2982312149923949,accelerating,decelerating,0.0,0.03964902425919181,False,False
